# 2023/12/04 - 15:38 | PDB: 48.23 | UniProt: 2024.01
PDB	CHAIN	SP_PRIMARY	SF_DOMID	FA_DOMID
6w9c	A	P0DTD1	8092568	8092566
4e6k	G	Q9HY80	8091738	8045736
1x31	A	Q50LF0	8091773	8091772
1wg8	A	Q5SJD8	8043509	8031131
2lc4	A	Q51354	8091783	8045783
6hcg	s	A0A0H3GMS7	8095545	8095544
2qtv	A	P15303	8036407	8024028
1pd0	A	P40482	8038525	8026146
4qgp	A	O29089	8089081	8089080
5go1	A	A0A1Y0DDB3	8061527	8061526
3q83	A	Q5HFV4	8061545	8061544
6ay1	E	B5Z9W9	8061559	8061558
3pj9	A	Q9PIG7	8061563	8061562
5xmz	A	G0Y276	8091794	8091793
1vq0	A	Q9X1B4	8043165	8030786
1szi	A	Q9DBG5	8039839	8027460
3pvl	A	P97479	8091832	8048249
5ejy	A	Q9U1M8	8091849	8048247
5ejr	A	Q9U1M8	8091855	8091854
3q9v	B	Q9RRR8	8076223	8076222
3kp1	F	E3PY96	8092026	8045760
4qoy	E	Q8X966	8076213	8076212
4v4w	BG	P0A7J7	8032961	8020581
2h8w	A	P36238	8034177	8021797
1r31	A	P13702	8040282	8027903
2w6a	A	Q9Z272	8092071	8045775
4zel	A	P09172	8052287	8052282
5cz2	H	P03365	8072149	8072148
6u7k	A	Q91AV1	8092622	8092621
1fno	A	P26311	8038636	8026257
1r3n	A	Q96W94	8040322	8027943
7vy2	X	A0A7Z6QV32	8107140	8107139
1prt	A	P04977	8037004	8024625
1gs0	A	O88554	8042270	8029891
2nn4	A	P54494	8034783	8022403
3pjy	A	Q92PM3	8092179	8050698
2r5x	A	Q5L106	8086262	8086261
5h3k	A	P74396	8092199	8092198
3n5b	B	Q8YZH5	8092204	8047163
2gqc	A	Q9HZC2	8092200	8046067
7ozp	V	A0A7K6NXI9	8105377	8105376
2v4d	B	P52477	8092210	8028933
4kku	A	O51166	8092218	8048900
3lnn	A	Q1LCD7	8092222	8092219
1p2z	A	P03277	8038146	8025767
3jx8	E	A6LGH9	8092234	8045912
2mdp	A	P03780	8092237	8045803
1nni	1	O07529	8033468	8021088
1rcf	A	P0A3D9	8044073	8031695
1qrd	A	P05982	8044089	8031711
4dy4	A	E2QJP6	8066683	8066682
6dxp	C	A6TCS9	8080963	8080962
4c0x	A	Q88IY3	8080965	8080964
4laf	B	C1I202	8088822	8088821
5b2r	B	Q99ZW2	8045843	8045838
5czz	A	J7RUA5	8048680	8045839
5b2r	B	Q99ZW2	8092301	8045838
1nm2	A	P72391	8043889	8031511
